Index,Distances
"[    0 32248  8728 18932 30483 63470 65325 24149 42338 52295 26251 50173
 61693 63952 53634 67351 24330 54159 67475 57528  1482 53428 18123 31379
 52864 62832 10536 29719 36087 30489 23947 20034 52057 33825 21654 31008
 55208 65229 22477 64902 44282 47968 54203 19825  1634 27378 33909 15378
 61612 24708 34474 26413 60030 16017 46824 46358 60857  1516 69428 61586
 63995 34557 63590 16832 21629 29021 10740 24107  5688 52665  1864  5036
 69298 39031  1978 40546 62114 22322 66544 52231 37284 24730  5970 60023
 62573 67274 21976 16945  9568 36697 25675 54189 11396 62909 42555 62525
 33445 52540 44263 67097]","[   0.     1561.4724 1591.6014 1594.7191 1596.7095 1600.8738 1603.479
 1604.4469 1604.8876 1605.7092 1609.6943 1613.7047 1625.649  1627.4609
 1649.3632 1650.3839 1654.0145 1655.396  1663.1732 1665.2495 1669.6802
 1682.5112 1683.9573 1684.5334 1689.8097 1690.2358 1691.7415 1694.2471
 1694.3104 1694.9673 1699.6338 1702.0948 1702.4835 1708.5786 1713.7742
 1713.9921 1715.1688 1717.3008 1719.1155 1724.2761 1724.8492 1725.9725
 1731.8488 1732.5695 1737.15   1742.3475 1742.4781 1743.4108 1744.5487
 1745.2046 1745.7294 1745.9415 1747.2201 1749.369  1751.4459 1751.9006
 1752.5997 1755.5372 1757.9286 1758.2844 1760.2838 1762.0692 1764.1788
 1765.9683 1767.9454 1768.3145 1770.3745 1773.3522 1776.272  1776.5684
 1777.1649 1778.9376 1779.5558 1780.9728 1782.31   1782.4519 1784.6616
 1785.531  1786.0454 1786.4767 1786.7488 1786.8125 1787.0836 1787.4548
 1787.5295 1787.6023 1788.5215 1788.9974 1790.725  1790.7948 1790.9584
 1791.4927 1792.1978 1792.2684 1792.7797 1792.9297 1793.0645 1793.3843
 1793.8782 1794.841 ]"
"[    1   639 51121 67601 59187 31059  2581 32388  1605 45857 13280 36953
 35343  4159 53789 59099 60794 33277 12550 51997 56781 50281 41896   860
  2082 43423 11429 45511 33739 66288 44700  9869 26619 10323 31165 50185
 50949 50257 26565  6611 36929 13459 15311 39207 39839 43685 40613 28607
 28323 55993 53117 59342  8193 68731 11354 37323 14991  4981 24393  3135
  7037 50151 27583  4931  2944 28002 50435 66461 28755 50157 55315  4067
 18991 47406 32952 31567 62592 46010 11888 51029 59541 12107    21 49387
 15770 20762 17905 51041  3286 27603 52629 66444 59103 27332 53387   326
 59105 47714  6619 14959]","[   0.      1020.64734 1100.5294  1114.2374  1125.4844  1125.6913
 1134.3138  1143.5007  1149.3207  1166.3618  1167.1088  1200.6777
 1204.042   1212.2961  1223.5166  1227.5997  1235.7957  1236.0874
 1239.2804  1245.6718  1251.3925  1256.281   1267.09    1267.5074
 1269.6803  1274.4889  1277.3864  1278.8859  1284.9031  1285.0319
 1285.1793  1290.3372  1291.184   1295.6948  1304.6804  1308.097
 1317.3496  1318.1078  1318.2155  1319.3275  1319.6643  1320.7335
 1323.269   1324.8279  1329.2968  1334.4579  1334.5464  1340.1597
 1340.2828  1340.4022  1342.1111  1343.5903  1345.1565  1346.6866
 1347.255   1347.4178  1350.1359  1351.5569  1352.0273  1353.4907
 1357.4675  1361.8837  1362.4408  1362.884   1364.1257  1365.0948
 1367.0183  1367.634   1369.9536  1372.7986  1374.1855  1374.433
 1376.2653  1379.5096  1380.076   1380.7194  1381.5756  1382.1201
 1383.2617  1384.805   1386.0981  1387.0115  1388.0057  1389.8029
 1390.6991  1390.9152  1391.6943  1393.0079  1395.3641  1396.5479
 1398.4749  1400.7369  1401.172   1412.414   1412.5841  1413.7068
 1414.076   1414.4133  1415.7944  1416.137  ]"
"[    2 64458 54197 46128  4410 25670 26652 23878 62338 20836 51202 37634
 43302 24296 45353 10960 10832 60117 51288 61963 50416 11408 14788 52532
 50846 51860  6184 56970 27824 62498 27882 21096 47750 48418 42550 23090
 43130 69267 16593  4102 39386 11424 45191  4616 62613 20932 63875 33551
 31106 60398 21822 53426 40496 12530 52752 29884 30604 31036 21186 65782
 38973 13252 10870 37541 53192 25826 21888 20040   682  4758 64475 27370
 44535 32862 25100 28464 25706 40600  1630   314  9392 17690 18617 19564
 14274 53768 49256 28610  7166 41680 63332 14592  2548 23174 53622  8278
 16850 12440 15604 62645]","[   0.     1358.4657 1377.6306 1541.1272 1553.8256 1586.1932 1597.8661
 1602.7214 1620.4617 1627.6028 1630.0197 1666.9766 1669.4718 1670.6448
 1676.9648 1687.7177 1688.2538 1709.0553 1712.5426 1720.4764 1721.9764
 1729.259  1729.382  1733.4971 1733.6461 1734.3523 1736.8713 1737.0409
 1737.1238 1747.822  1753.3551 1753.6003 1756.1019 1758.1448 1760.262
 1761.5911 1767.4241 1774.7234 1777.3787 1779.5201 1783.9375 1784.2859
 1785.3135 1786.1624 1787.7556 1789.6586 1796.2828 1797.6512 1798.0618
 1802.1626 1803.5579 1803.5703 1811.773  1813.3414 1816.7427 1819.875
 1821.497  1826.9083 1829.4015 1835.5372 1835.7905 1837.8743 1841.0709
 1844.8298 1845.12   1845.5254 1848.986  1849.3625 1850.4923 1850.8439
 1851.5885 1855.7559 1857.1411 1858.654  1859.0067 1859.547  1859.5515
 1861.2208 1864.2706 1864.9268 1865.3064 1865.8462 1866.3137 1866.7609
 1868.7659 1877.3218 1879.6758 1881.9293 1882.3536 1882.4258 1882.4628
 1884.6393 1884.8822 1885.4878 1885.6675 1885.9011 1886.274  1887.2404
 1888.641  1889.1418]"
"[    3    23  8725 35507 51305 54875 11249 58276 34166 43249 15293 20195
 27831 68938 22475 42859  5749 68187 43469   609 26263 69485  9973 35168
 59686 58286 67567 24711 17925 16086 66683 61820 24341 46275   201 69876
 43269 18963 53531 46347 67411 59694  8781 69969 48583 37461 42875 57599
 59616 35009 35587 66670 36509 45907 12521 68809 65112 21071  3111 33433
  7454 43267  8379 22427  4105 39711 10627 43151 43227 51187 53147  1425
 41289   573 52745 29901 27629 29033 33105 35669 20163 65166 50951 35149
 24707 24339 35565 42899 37978 22267  8811 43411 18863 59864 37405 20319
 17907 58335 28961 34869]","[  0.      419.58313 433.07043 448.07254 455.09558 486.36407 490.10916
 517.9884  523.854   528.9915  537.88104 545.87634 568.5499  582.1417
 583.7576  584.54596 585.58777 590.2152  592.4846  597.7851  602.5006
 608.0773  609.50635 610.1377  610.7446  611.875   617.1815  627.55316
 631.4515  631.9802  632.3836  633.3972  634.4722  634.81885 636.24603
 636.5037  638.4293  639.9125  640.993   647.20013 652.1311  655.67523
 658.47473 658.7716  662.25977 666.0045  666.4811  666.94305 669.4296
 674.1647  674.80884 678.82104 679.40857 680.19336 681.2995  681.41693
 683.6739  685.05035 685.2153  686.09546 686.4117  686.70374 690.8075
 692.16327 692.5143  694.8237  695.74994 697.55145 697.7471  698.0337
 698.8798  700.53265 701.1676  701.26385 701.43854 701.8732  703.9332
 704.934   705.10706 708.27606 708.672   714.62787 715.0273  717.09625
 720.2083  720.44293 722.4604  724.46326 725.23444 726.46405 727.6826
 727.8702  730.13495 730.7072  732.4145  733.14935 735.53656 736.4754
 738.0752  742.50726]"
"[    4 10208 36402  1396 11190 39932 37754 23989 29234 11909  3834 37009
 64644 60558 38003 15212 39718 12294 53841 43918 13672 24197 44025 48186
 16253 65130 32196  6263 16261 37951  3787 27679 34834 15446 41162 64174
 31018    45 42628 67651 46609 27932 25248  7529 51132 24694 43891 51796
 53729 31358  1286 26643 26005  2221 30554 18296 45756 29406 37654 34258
 38087 46150 66214 26921 36930 52977 52481  6886 24039 44592 69142 42516
 11353  6787  3088 58088   980 21267 54389 14680  2099 25019 38704 14182
 25637 64280 12846  7180 63889 29693 41665 33699  4973 53683 61745 26220
 38727  6779 43550 44995]","[   0.     1112.903  1143.01   1143.7487 1156.78   1175.6067 1212.7316
 1240.9263 1242.1312 1266.329  1269.2837 1270.897  1283.8181 1292.4972
 1292.8372 1305.3237 1305.516  1306.576  1310.2664 1311.3494 1314.2797
 1316.0164 1324.5966 1325.2452 1335.1775 1339.4103 1340.6864 1340.9512
 1345.2643 1352.5646 1352.609  1360.486  1362.9674 1364.8586 1366.2775
 1370.3835 1371.6041 1374.9465 1375.6744 1377.8817 1378.033  1379.3005
 1386.6842 1387.2758 1388.259  1389.0436 1391.0978 1392.3096 1397.3024
 1397.4556 1397.544  1397.6985 1398.2428 1400.4403 1404.1179 1405.6554
 1406.326  1407.4772 1409.1295 1409.2069 1409.716  1409.9163 1410.5176
 1423.6119 1424.3129 1425.6757 1425.8019 1425.9229 1427.0532 1427.0907
 1427.5514 1431.1709 1433.2446 1433.2969 1433.6464 1433.7671 1435.3835
 1435.6769 1436.4519 1437.757  1437.9163 1438.4443 1438.778  1439.5787
 1443.4528 1444.2545 1445.0073 1447.0111 1447.1624 1448.7263 1450.2817
 1451.1406 1451.4069 1451.5757 1452.5244 1452.6124 1453.2925 1453.5642
 1455.2628 1456.3523]"
"[    5 46277 67001  9989 24229 29819 57319 24269  7633  3147 68295 13585
 36721 58323 52723 23701 35393  8977 35279  3023 14422  3339 40617 58910
 20247 25089   635 23625  4187 69547  3105 29071 30931 17173 44371 33133
  7139 40699 59706 66234 68394 35457 58728 16024 65095   813 68245 65120
 28289 17315 26941 18613 16269 12299 17431 49115  2625 20454 52695 69018
 19271 40151  8841 69510 46663 25827 36593 52835 31395 68438 33197 64504
 24303 25807  1754 34746 12311 33047 66635 52659 68693 10113 20165 68318
 44415 28640 41421 12385 35679   943 20313   199 12951 17439 36753 57649
 29287 15030 35153 31373]","[   0.     1454.2867 1467.7997 1484.1233 1491.6782 1494.6917 1536.5862
 1544.7155 1582.9489 1614.3475 1614.6185 1621.3263 1626.5983 1626.7465
 1627.0634 1631.0844 1638.7468 1643.3162 1648.2958 1662.5469 1665.9253
 1676.4158 1680.2839 1687.8243 1689.7405 1696.6099 1706.2034 1706.2306
 1707.9215 1711.7479 1720.6897 1720.9768 1721.3059 1722.0653 1723.1913
 1723.6345 1728.0961 1736.5092 1736.8455 1737.2861 1740.0612 1746.6414
 1750.2151 1750.2657 1751.5222 1752.442  1755.2811 1755.4191 1760.5167
 1760.5525 1762.7662 1764.8567 1766.9504 1771.1671 1771.5491 1773.4176
 1774.208  1782.0845 1783.1315 1784.2189 1784.4963 1787.6096 1789.3574
 1791.325  1791.5267 1793.2456 1793.571  1794.1864 1799.9847 1803.1542
 1803.4034 1804.3439 1805.1158 1806.4266 1807.6941 1814.9531 1815.0605
 1816.4869 1817.4213 1818.7548 1824.6035 1826.1766 1827.5818 1828.293
 1829.5065 1830.3339 1832.7632 1833.7145 1835.6427 1837.1315 1838.2886
 1839.7924 1842.6489 1847.0469 1848.5297 1848.6165 1849.0289 1849.5112
 1850.986  1852.287 ]"
"[    6 68540 29514 20898  9599 30564 30940 41812 16218 17378 55574 31771
 33634 36094 50850 22045 22179 62612 38340 60640  5304  4467 14853 29522
 68543  4751 11630 19440 27329 20654 16278 47908 44120  1696 65991 46880
 63786 63175 68536 45438 20045 12878 63866 64588 63586  4775 39262 67638
 64025 15790 32842 47998 58052 24918 11082 39362 28394 54872 13398 37499
 12412 14685 42184  2432  9487 66060 65933 29080 61302  4012  8660 30966
 57190 24328 26746 63230 17286 28970 22120 15898  9012 13636 31238 56511
 61603 21476 49628 64538 41360 52906 53468 65520 41524 27297 34264 27071
 63651 52758 61180 46520]","[  0.      514.8641  553.273   562.30774 565.6757  579.0993  587.4768
 589.9661  598.41956 601.42664 601.7865  608.7824  613.1036  613.349
 620.4748  624.83356 626.0711  628.6748  639.6796  641.47174 644.2593
 651.09674 655.50665 655.60657 662.89514 663.6219  664.71875 669.93506
 670.1888  677.70935 679.9022  680.3065  680.5615  685.2438  686.08453
 689.67816 696.512   697.75854 698.4032  700.731   706.1579  706.61444
 707.8432  709.59    712.6893  713.401   716.067   721.9841  722.24994
 722.47974 723.7928  723.8425  724.83307 725.0552  727.6503  728.56433
 731.58185 732.80963 733.60754 735.0061  737.35406 739.68915 740.57544
 740.77325 741.2314  743.88104 745.23755 746.56885 747.0609  749.826
 750.9847  751.4566  753.2529  758.2882  761.0992  761.9613  762.4716
 763.4992  763.7218  764.2657  764.9961  765.70557 771.8167  773.26776
 774.5289  776.7818  777.3667  777.82324 778.8235  779.4036  779.70764
 781.97375 782.40656 783.08685 783.3294  789.51886 789.9576  790.2512
 791.6723  792.44434]"
"[    7 12483 59016  5097 53943 66704 66184 17341 43563 13937 10483 42073
 21695 12333 12625 67365   361 38166 68970 13383 57265 41225  8065 55509
 22569 24231 55579  2481 55527 55133  3075 36709  5753  6489 43475 44280
 12545 43171  5001  9977 16435 12329  2529 37886 20259 39595 43373 65492
 33139 28983  1429 58336 31579 19307  2469 32281 55151 43967 13141 54849
   157 49193 54767 50201 68120 67509 16503  6497 53035 39981   279 33225
   107 58288 12981 48465 66260  2669 53231 58971 67374 51799 27570  5041
 31587 38245 34967 30611 54867 56073  7635 69229 12109  8075 34547 67396
 34143 38109 47377 54735]","[   0.     1123.118  1145.2686 1166.7262 1215.0864 1216.0198 1237.9725
 1255.2128 1258.3549 1275.3047 1293.1705 1296.2997 1300.9635 1327.1936
 1333.6409 1349.3828 1351.5261 1354.9653 1359.711  1373.528  1374.6895
 1377.7914 1383.0632 1384.1691 1401.6722 1402.3644 1417.0787 1417.1497
 1422.0323 1424.8179 1427.6522 1428.1257 1431.5698 1432.7963 1435.2634
 1440.15   1449.5392 1451.7676 1456.4014 1456.7876 1457.0267 1463.8978
 1464.5231 1464.9692 1467.045  1468.6477 1472.9423 1475.8344 1477.8965
 1480.8268 1486.9519 1490.6237 1492.6132 1492.8258 1493.1698 1493.287
 1494.5471 1495.6008 1495.8773 1496.5433 1496.9716 1497.9777 1502.3618
 1503.2968 1505.578  1506.5719 1506.6794 1507.0441 1508.9218 1509.96
 1513.1318 1513.4923 1514.2533 1518.019  1519.9241 1520.4144 1520.8728
 1521.9899 1522.1088 1523.5107 1525.8873 1526.5504 1526.9702 1527.4792
 1530.9376 1531.3347 1531.8635 1533.1598 1533.1641 1534.0958 1534.5967
 1536.2487 1539.0776 1539.3602 1540.862  1544.1807 1545.2719 1546.2723
 1551.6172 1557.5863]"
"[    8 51451 60427 51710 69395 24924 49610 60755 45006 31980 21682 50404
 25934 61753 17883 35912 57903 69444 13584 50056 38750 65896 46840 32446
 54876 23404 67636  9910 31685  6698 33268 31526 64074 27124 61360  3540
 23302 13840 39984 38384 33586 31870 43784  3822 41596 46304  2260  5058
 43704 10684 36520 44548 42182 41222 50055 39484 23576 17875 33462 19955
 31640 56734 42332 35820  5814  5756 54164 10098 69443 21740 47388 14906
 18400 60272 18270 37565 57961 44628 17180 55306 40468 63779 52088 22168
 38528 17727 50661  9260 31864 61986 49210 25118 62034 31663  2307 33458
 28568 34926 22788   638]","[  0.      429.3006  457.74774 458.1288  459.30164 507.29184 514.4648
 514.5357  515.33875 515.41437 515.8052  530.4196  533.4135  537.8643
 540.0537  544.69806 545.0055  548.1259  548.5244  550.35895 554.4619
 561.2201  561.58435 563.43414 565.4114  566.6816  570.3902  571.17163
 571.81903 575.79425 578.2041  581.07574 581.45593 585.7482  586.48615
 588.24316 589.7466  596.25244 599.14355 606.0256  606.79895 607.4488
 608.21216 608.3543  610.7888  611.7916  612.5512  613.0408  614.8325
 615.2788  616.7001  620.9034  621.2318  625.7883  626.24115 627.22723
 628.4791  629.76263 630.7971  631.45306 631.67633 632.81195 634.00946
 635.19446 635.32904 635.5415  637.1962  639.40753 639.8047  640.0422
 640.1031  641.1973  641.9673  644.7092  645.53546 645.8901  647.0371
 647.07263 648.45123 650.2223  651.34015 651.7331  652.1434  653.7293
 653.73083 654.6022  655.24725 656.7123  656.7937  657.515   658.2568
 659.08954 660.64667 661.1581  661.87006 662.0891  665.15564 665.19543
 665.3623  665.5133 ]"
"[    9  5755 13841 68993 54869 44279 23549 59259 35141 34133 34955 69766
 35115 59893 33991  7725 67201  7751  8215  5549 18071 41163  5945 34855
 30005 34109 53141 30613 54903 65055 14939 53263  3503 34953  3009 53157
  1133 34971 54041 19059 35293 43467 33317  3351 53145  3399 67550 15299
 54017 47569 30593 35259  8261 35003 67530 58325 23529  1171 23595 41625
  1037 68945 59863 57035 10175 68269 15347 40285 34949 30765  5813 35075
 68314 13385 30763  3091 35585 10695 30637 30745 19055  2439 51823 59261
 25279 68309 23587 56997 67194 66995 35229 23615 23623 69906  8239 69789
  8243  2963 35095 66448]","[   0.      770.2194 1014.7822 1110.0549 1126.6526 1135.6954 1139.1703
 1145.2821 1168.6488 1184.827  1187.289  1187.3534 1191.5037 1205.3937
 1207.2307 1208.6836 1210.5399 1214.4983 1223.4746 1225.5415 1238.2871
 1238.6873 1241.1974 1258.6036 1262.8721 1263.171  1274.3489 1276.2963
 1280.0234 1286.3301 1287.6665 1287.9185 1292.5482 1292.691  1292.9552
 1296.307  1298.205  1300.0388 1305.5106 1307.0961 1307.8295 1312.4329
 1313.5848 1315.9583 1315.9734 1316.4315 1317.153  1320.3011 1321.3531
 1321.3678 1330.6731 1331.0049 1335.3232 1339.4152 1340.6278 1341.0187
 1342.5111 1343.5818 1347.9147 1351.7726 1356.2814 1358.3185 1360.619
 1363.5142 1365.2747 1375.1127 1375.2338 1375.939  1377.9384 1380.2224
 1380.5684 1380.6792 1381.5372 1384.3254 1385.5375 1386.0109 1386.4674
 1388.7686 1389.596  1394.705  1396.8618 1398.3701 1398.4027 1402.861
 1404.7163 1405.8862 1406.2208 1409.5358 1409.6216 1410.4645 1418.3455
 1420.1056 1420.8628 1425.6805 1432.009  1433.3558 1433.9327 1435.5769
 1437.2725 1438.0369]"
